job,role,background,gender,age,hobbies,style,education_level,years_of_coding_experience
Journalist specialised on Technology,moderator, NA, NA,NA,NA,NA,NA,NA
No Persona, participant, NA, NA,NA,NA,NA,NA,NA
Nurse Practitioner,participant,Biology,Female,32,yoga,empathetic,Master's,2
Nurse Practitioner,participant,Psychology,Male,45,gardening,analytical,Doctorate,0
Nurse Practitioner,participant,Nursing,Non-binary,29,painting,collaborative,Bachelor's,1
Nurse Practitioner,participant,Chemistry,Female,38,hiking,detail-oriented,Master's,3
Nurse Practitioner,participant,Public Health,Male,51,cooking,patient-centered,Doctorate,1
Financial Manager,participant,Accounting,Male,40,golfing,strategic,Master's,5
Financial Manager,participant,Economics,Female,35,tennis,analytical,Bachelor's,3
Financial Manager,participant,Business Administration,Non-binary,48,traveling,risk-averse,MBA,7
Financial Manager,participant,Mathematics,Female,29,reading,detail-oriented,Master's,2
Financial Manager,participant,Finance,Male,55,photography,assertive,Doctorate,4
Software Developer,participant,Computer Science,Male,28,gaming,innovative,Bachelor's,6
Software Developer,participant,Information Technology,Female,34,rock climbing,analytical,Master's,8
Software Developer,participant,Electrical Engineering,Non-binary,41,music production,collaborative,PhD,12
Software Developer,participant,Mathematics,Female,26,cycling,problem-solving,Bachelor's,4
Software Developer,participant,Physics,Male,38,woodworking,detail-oriented,Master's,10
IT Manager,participant,Information Systems,Female,42,photography,strategic,Master's,15
IT Manager,participant,Computer Engineering,Male,37,marathon running,decisive,Bachelor's,12
IT Manager,participant,Business Technology,Non-binary,49,volunteering,collaborative,MBA,18
IT Manager,participant,Cybersecurity,Female,33,painting,analytical,Master's,9
IT Manager,participant,Data Science,Male,45,golfing,innovative,PhD,14
Physician Assistant,participant,Biology,Female,31,yoga,empathetic,Master's,1
Physician Assistant,participant,Chemistry,Male,39,hiking,detail-oriented,Bachelor's,0
Physician Assistant,participant,Health Sciences,Non-binary,28,painting,patient-centered,Master's,2
Physician Assistant,participant,Psychology,Female,44,gardening,analytical,Doctorate,1
Physician Assistant,participant,Nutrition,Male,35,rock climbing,collaborative,Master's,3
Medical and Health Services Manager,participant,Healthcare Administration,Female,38,cycling,strategic,Master's,4
Medical and Health Services Manager,participant,Public Health,Male,45,golfing,analytical,MBA,2
Medical and Health Services Manager,participant,Nursing,Non-binary,33,volunteering,collaborative,Bachelor's,1
Medical and Health Services Manager,participant,Business Management,Female,50,yoga,decisive,Doctorate,3
Medical and Health Services Manager,participant,Health Informatics,Male,41,photography,innovative,Master's,6
Information Security Analyst,participant,Cybersecurity,Male,32,gaming,analytical,Bachelor's,8
Information Security Analyst,participant,Computer Science,Female,39,martial arts,detail-oriented,Master's,10
Information Security Analyst,participant,Network Engineering,Non-binary,28,puzzle solving,innovative,Bachelor's,6
Information Security Analyst,participant,Information Assurance,Male,45,reading,strategic,Master's,12
Information Security Analyst,participant,Digital Forensics,Female,35,rock climbing,problem-solving,PhD,9
Data Analyst,participant,Statistics,Female,29,data visualization,analytical,Master's,5
Data Analyst,participant,Mathematics,Male,36,chess,detail-oriented,Bachelor's,7
Data Analyst,participant,Economics,Non-binary,41,hiking,strategic,PhD,9
Data Analyst,participant,Computer Science,Female,33,painting,innovative,Master's,6
Data Analyst,participant,Business Analytics,Male,27,cycling,collaborative,Bachelor's,4
Actuary,participant,Actuarial Science,Male,34,chess,analytical,Bachelor's,3
Actuary,participant,Mathematics,Female,40,yoga,detail-oriented,Master's,5
Actuary,participant,Statistics,Non-binary,29,gaming,strategic,Bachelor's,2
Actuary,participant,Economics,Male,47,gardening,risk-averse,PhD,7
Actuary,participant,Data Science,Female,36,running,problem-solving,Master's,4
Speech-Language Pathologist,participant,Communication Sciences,Female,33,singing,empathetic,Master's,1
Speech-Language Pathologist,participant,Linguistics,Male,39,theater,patient-centered,Doctorate,0
Speech-Language Pathologist,participant,Psychology,Non-binary,28,yoga,analytical,Master's,2
Speech-Language Pathologist,participant,Education,Female,45,gardening,collaborative,Bachelor's,1
Speech-Language Pathologist,participant,Neuroscience,Male,31,hiking,detail-oriented,Master's,3
Marketing Manager,participant,Marketing,Female,35,social media,creative,Bachelor's,4
Marketing Manager,participant,Business Administration,Male,42,photography,strategic,MBA,6
Marketing Manager,participant,Communications,Non-binary,29,blogging,innovative,Master's,3
Marketing Manager,participant,Psychology,Female,48,painting,analytical,Doctorate,5
Marketing Manager,participant,Digital Media,Male,37,video editing,collaborative,Bachelor's,7
Statistician,participant,Statistics,Male,31,data visualization,analytical,Master's,6
Statistician,participant,Mathematics,Female,38,chess,detail-oriented,PhD,8
Statistician,participant,Economics,Non-binary,43,hiking,strategic,Master's,5
Statistician,participant,Computer Science,Male,29,gaming,innovative,Bachelor's,4
Statistician,participant,Biostatistics,Female,35,yoga,problem-solving,Doctorate,7
Management Analyst,participant,Business Administration,Female,36,traveling,strategic,MBA,3
Management Analyst,participant,Economics,Male,41,golfing,analytical,Master's,5
Management Analyst,participant,Industrial Engineering,Non-binary,32,volunteering,innovative,Bachelor's,2
Management Analyst,participant,Psychology,Female,47,reading,collaborative,PhD,4
Management Analyst,participant,Data Science,Male,29,cycling,detail-oriented,Master's,6
Genetic Counselor,participant,Genetics,Female,30,gardening,empathetic,Master's,2
Genetic Counselor,participant,Biology,Male,38,hiking,analytical,Doctorate,1
Genetic Counselor,participant,Psychology,Non-binary,34,painting,patient-centered,Master's,3
Genetic Counselor,participant,Biomedical Sciences,Female,42,yoga,collaborative,PhD,0
Genetic Counselor,participant,Public Health,Male,29,volunteering,detail-oriented,Master's,1
Operations Research Analyst,participant,Operations Research,Male,33,chess,analytical,Master's,5
Operations Research Analyst,participant,Industrial Engineering,Female,39,puzzle solving,detail-oriented,PhD,7
Operations Research Analyst,participant,Mathematics,Non-binary,28,gaming,strategic,Bachelor's,4
Operations Research Analyst,participant,Computer Science,Male,45,hiking,innovative,Master's,6
Operations Research Analyst,participant,Data Science,Female,36,cycling,problem-solving,Doctorate,8
Orthotist and Prosthetist,participant,Prosthetics and Orthotics,Female,32,3D printing,detail-oriented,Master's,3
Orthotist and Prosthetist,participant,Biomedical Engineering,Male,39,rock climbing,innovative,Doctorate,2
Orthotist and Prosthetist,participant,Kinesiology,Non-binary,28,yoga,empathetic,Bachelor's,1
Orthotist and Prosthetist,participant,Materials Science,Female,44,sculpting,analytical,Master's,4
Orthotist and Prosthetist,participant,Occupational Therapy,Male,35,hiking,patient-centered,Master's,2
Lawyer,participant,Law,Male,38,debate,analytical,Juris Doctor,1
Lawyer,participant,Political Science,Female,45,reading,detail-oriented,Master's,0
Lawyer,participant,Philosophy,Non-binary,32,writing,persuasive,Bachelor's,2
Lawyer,participant,Business Administration,Female,52,golfing,strategic,Juris Doctor,3
Lawyer,participant,Criminal Justice,Male,29,volunteering,empathetic,Juris Doctor,1
Occupational Therapist,participant,Occupational Therapy,Female,31,yoga,empathetic,Master's,1
Occupational Therapist,participant,Kinesiology,Male,39,gardening,patient-centered,Doctorate,0
Occupational Therapist,participant,Psychology,Non-binary,28,painting,analytical,Master's,2
Occupational Therapist,participant,Health Sciences,Female,44,hiking,collaborative,Bachelor's,1
Occupational Therapist,participant,Rehabilitation Science,Male,35,volunteering,detail-oriented,Master's,3
Veterinarian,participant,Veterinary Medicine,Female,34,animal rescue,empathetic,Doctorate,0
Veterinarian,participant,Animal Science,Male,41,hiking,analytical,Doctorate,1
Veterinarian,participant,Biology,Non-binary,29,wildlife photography,detail-oriented,Doctorate,2
Veterinarian,participant,Zoology,Female,48,gardening,patient-centered,Doctorate,1
Veterinarian,participant,Microbiology,Male,36,horse riding,innovative,Doctorate,3
Web Developer,participant,Computer Science,Male,28,gaming,innovative,Bachelor's,6
Web Developer,participant,Graphic Design,Female,34,photography,creative,Master's,8
Web Developer,participant,Information Technology,Non-binary,41,blogging,analytical,Bachelor's,10
Web Developer,participant,Software Engineering,Female,26,rock climbing,problem-solving,Master's,5
Web Developer,participant,Digital Media,Male,38,music production,detail-oriented,Bachelor's,9
Industrial Psychologist,participant,Industrial-Organizational Psychology,Female,35,corporate volunteering,analytical,PhD,2
Industrial Psychologist,participant,Business Psychology,Male,42,meditation,empathetic,Master's,1
Industrial Psychologist,participant,Human Resources Management,Non-binary,29,data analysis,strategic,Doctorate,3
Industrial Psychologist,participant,Organizational Behavior,Female,48,writing,collaborative,PhD,0
Industrial Psychologist,participant,Social Psychology,Male,37,public speaking,innovative,Doctorate,2
Sales Manager,participant,Marketing,Female,36,networking,persuasive,Bachelor's,2
Sales Manager,participant,Business Administration,Male,43,golfing,strategic,MBA,4
Sales Manager,participant,Communications,Non-binary,30,public speaking,charismatic,Master's,1
Sales Manager,participant,Psychology,Female,49,traveling,analytical,Bachelor's,3
Sales Manager,participant,Economics,Male,38,social media,innovative,Master's,5
Dental Hygienist,participant,Dental Hygiene,Female,29,yoga,detail-oriented,Bachelor's,0
Dental Hygienist,participant,Health Sciences,Male,36,photography,patient-centered,Associate's,1
Dental Hygienist,participant,Biology,Non-binary,42,gardening,empathetic,Bachelor's,2
Dental Hygienist,participant,Public Health,Female,31,volunteer dentistry,analytical,Master's,1
Dental Hygienist,participant,Nutrition,Male,39,hiking,collaborative,Bachelor's,0
Nurse Anesthetist,participant,Nursing,Male,34,meditation,detail-oriented,Master's,2
Nurse Anesthetist,participant,Biology,Female,41,running,analytical,Doctorate,1
Nurse Anesthetist,participant,Chemistry,Non-binary,38,yoga,patient-centered,Master's,3
Nurse Anesthetist,participant,Pharmacology,Male,45,reading,strategic,Doctorate,0
Nurse Anesthetist,participant,Health Sciences,Female,32,hiking,empathetic,Master's,2
Medical Equipment Repairer,participant,Biomedical Engineering,Male,30,electronics tinkering,detail-oriented,Bachelor's,5
Medical Equipment Repairer,participant,Electrical Engineering,Female,37,3D printing,analytical,Associate's,7
Medical Equipment Repairer,participant,Mechanical Engineering,Non-binary,43,robotics,problem-solving,Bachelor's,9
Medical Equipment Repairer,participant,Medical Technology,Male,29,DIY projects,innovative,Associate's,4
Medical Equipment Repairer,participant,Computer Science,Female,35,volunteering,collaborative,Bachelor's,6
Market Research Analyst,participant,Marketing,Female,31,data visualization,analytical,Bachelor's,3
Market Research Analyst,participant,Statistics,Male,38,social media analysis,detail-oriented,Master's,5
Market Research Analyst,participant,Psychology,Non-binary,28,consumer behavior studies,strategic,Bachelor's,2
Market Research Analyst,participant,Economics,Female,44,trend forecasting,innovative,Master's,4
Market Research Analyst,participant,Business Analytics,Male,35,survey design,collaborative,MBA,6
Forensic Science Technician,participant,Forensic Science,Female,29,crime scene photography,detail-oriented,Bachelor's,2
Forensic Science Technician,participant,Chemistry,Male,36,puzzle solving,analytical,Master's,3
Forensic Science Technician,participant,Biology,Non-binary,42,true crime podcasting,innovative,Bachelor's,1
Forensic Science Technician,participant,Criminal Justice,Female,31,forensic art,creative,Master's,4
Forensic Science Technician,participant,Biochemistry,Male,39,martial arts,strategic,PhD,5
Political Scientist,participant,Political Science,Male,33,policy analysis,analytical,PhD,2
Political Scientist,participant,International Relations,Female,40,debate,strategic,Master's,1
Political Scientist,participant,Public Policy,Non-binary,37,political journalism,innovative,Doctorate,3
Political Scientist,participant,Sociology,Male,46,data visualization,detail-oriented,PhD,4
Political Scientist,participant,Economics,Female,31,social activism,collaborative,Master's,0
Physical Therapist,participant,Physical Therapy,Female,32,yoga,empathetic,Doctorate,1
Physical Therapist,participant,Kinesiology,Male,39,marathon running,analytical,Master's,0
Physical Therapist,participant,Exercise Science,Non-binary,28,rock climbing,patient-centered,Doctorate,2
Physical Therapist,participant,Biomechanics,Female,44,swimming,detail-oriented,PhD,1
Physical Therapist,participant,Sports Medicine,Male,35,strength training,collaborative,Doctorate,3
Substance Abuse and Behavioral Disorder Counselor,participant,Psychology,Female,34,meditation,empathetic,Master's,1
Substance Abuse and Behavioral Disorder Counselor,participant,Social Work,Male,41,volunteering,patient-centered,Bachelor's,0
Substance Abuse and Behavioral Disorder Counselor,participant,Counseling,Non-binary,29,art therapy,creative,Master's,2
Substance Abuse and Behavioral Disorder Counselor,participant,Behavioral Science,Female,48,support group facilitation,analytical,Doctorate,1
Substance Abuse and Behavioral Disorder Counselor,participant,Addiction Studies,Male,36,mindfulness practice,collaborative,Master's,3
